name,redirect_name
Allan McLeod Cormack,Allan McLeod Cormack
Ea Ea,Craige Schensted
Ernest Mouchez,Amédée Mouchez
Gian Carlo Wick,Gian-Carlo Wick
Hans Adolf Buchdahl,Hans Adolph Buchdahl
Hans Ziegler (physicist),Hans Ziegler
James Jeans,James Hopwood Jeans
Kenneth Young (physicist),Kenneth Young
Lawrence Bragg,William Lawrence Bragg
Maria Goeppert Mayer,Maria Goeppert-Mayer
Maria Goeppert-Mayer,Maria Goeppert-Mayer
Raúl Rabadán,Raúl Rabadan
Shin'ichirō Tomonaga,Sin'ichirō Tomonaga
Thales of Miletus,Thales
William Fuller Brown Jr.,"William Fuller Brown, Jr."
Yakov Alpert,Yakov Lvovich Alpert
Yakov Zeldovich,Yakov Borisovich Zel'dovich
Yang Chen-Ning,Chen-Ning Yang
Chen-Ning Yang,Chen-Ning Yang
Yulii Khariton,Yulii Borisovich Khariton